X (m),Z (m)
0.0,140.0
5.0,140.0
10.0,140.0
15.0,140.0
20.0,140.0
25.0,140.0
30.0,140.0
35.0,140.0
40.0,140.0
45.0,140.0
50.0,140.0
55.0,140.0
60.0,140.0
65.0,140.0
70.0,140.0
75.0,140.0
80.0,140.0
85.0,140.0
90.0,140.0
95.0,140.0
100.0,140.0
105.0,140.0
110.0,140.0
115.0,140.0
120.0,140.0
125.0,140.0
130.0,140.0
135.0,140.0
140.0,140.0
145.0,140.0
150.0,140.0
155.0,140.0
160.0,140.0
165.0,140.0
170.0,140.0
175.0,140.0
180.0,140.0
185.0,140.0
190.0,140.0
195.0,140.0
200.0,140.0
205.0,140.0
210.0,139.557714596491
215.0,138.70263437655058
220.0,137.84755415661016
225.0,136.99247393666974
230.0,136.13739371672932
235.0,135.2823134967889
240.0,134.42723327684848
245.0,133.57215305690806
250.0,132.71707283696765
255.0,131.86199261702723
260.0,131.00691239708658
265.0,130.15183217714616
270.0,128.9396549158239
275.0,127.65037993371698
280.0,126.36110495161006
285.0,125.07182996950337
290.0,123.78255498739645
295.0,122.49328000528976
300.0,121.20400502318284
305.0,119.91138850703237
310.0,118.57158979653627
315.0,117.23179108604018
320.0,115.89199237554408
325.0,114.55219366504798
330.0,113.21239495455188
335.0,111.87259624405601
340.0,110.53279753355991
345.0,109.72119117303964
350.0,109.25830745302483
355.0,108.79542373301001
360.0,108.3325400129952
365.0,107.86965629298038
370.0,107.40677257296556
375.0,106.94388885295075
380.0,106.48100513293593
385.0,106.01812141292112
390.0,105.5552376929063
395.0,105.09235397289149
400.0,104.62947025287667
405.0,104.16658653286186
410.0,103.70370281284704
415.0,103.24081909283223
420.0,102.77793537281764
425.0,102.31505165280282
430.0,101.852167932788
435.0,101.38928421277319
440.0,100.92640049275838
445.0,100.46351677274356
450.0,100.00063305272874
455.0,99.08993564080606
460.0,98.1786249476063
465.0,97.2673142544063
470.0,96.35600356120653
475.0,95.44469286800654
480.0,94.53338217480677
485.0,93.62207148160678
490.0,92.71076078840701
495.0,91.79945009520702
500.0,90.88813940200725
505.0,89.97210064137516
510.0,88.8748383594941
515.0,87.77757607761305
520.0,86.68031379573199
525.0,85.58305151385093
530.0,84.48578923196987
535.0,83.38852695008904
540.0,82.29126466820799
545.0,81.19400238632693
550.0,80.09674010444587
555.0,78.787592179473
560.0,77.45795711317942
565.0,76.12832204688607
570.0,74.79868698059272
575.0,73.46905191429937
580.0,72.13941684800602
585.0,70.80978178171267
590.0,69.17434452329417
595.0,67.06255547229216
600.0,64.95076642128993
605.0,62.838977370287694
610.0,60.72718831928546
615.0,58.391947666644
620.0,55.9393508759365
625.0,53.48675408522877
630.0,51.03415729452104
635.0,48.758626150228565
640.0,46.6121902055138
645.0,44.4657542607988
650.0,42.319318316084036
655.0,40.17288237136927
660.0,37.8528210377126
665.0,35.51755020106816
670.0,33.18227936442395
675.0,30.847008527779508
680.0,28.569443953085738
685.0,26.324721502852753
690.0,24.07999905261977
695.0,21.83527660238701
700.0,19.580467838676896
705.0,17.28044876149943
710.0,14.98042968432219
715.0,12.68041060714495
720.0,10.380391529967483
725.0,8.055079739822759
730.0,5.7247559702461785
735.0,3.3944322006698258
740.0,1.0641084310932456
745.0,0.0
750.0,0.0
755.0,3.048896464364816
760.0,6.562485665994927
765.0,10.055202285233008
770.0,12.604771668070043
775.0,15.154341050907078
780.0,17.703910433744113
785.0,20.2116358729495
790.0,22.34032741636156
795.0,24.469018959773393
800.0,26.597710503185453
805.0,28.726402046597514
810.0,30.759816281457915
815.0,32.65132209062722
820.0,34.54282789979629
825.0,36.434333708965596
830.0,38.32583951813467
835.0,40.20455231080041
840.0,41.98472347416305
845.0,43.764894637525686
850.0,45.54506580088855
855.0,47.32523696425119
860.0,49.10540812761383
865.0,50.789209474676
870.0,52.37566024535954
875.0,53.962111016042854
880.0,55.548561786726395
885.0,57.13501255740994
890.0,58.72146332809325
895.0,60.25687178059661
900.0,61.580339708545125
905.0,62.90380763649364
910.0,64.22727556444192
915.0,65.55074349239044
920.0,66.87421142033895
925.0,68.19767934828747
930.0,69.52114727623598
935.0,70.64906024471043
940.0,71.66610376100607
945.0,72.68314727730171
950.0,73.70019079359736
955.0,74.717234309893
960.0,75.73427782618865
965.0,76.75132134248452
970.0,77.76836485878016
975.0,78.7854083750758
980.0,79.80245189137145
985.0,80.2725789697588
990.0,80.61086600746262
995.0,80.94915304516667
1000.0,81.28744008287049
1005.0,81.62572712057454
1010.0,81.96401415827836
1015.0,82.30230119598241
1020.0,82.64058823368623
1025.0,82.97887527139028
1030.0,83.3171623090941
1035.0,83.65544934679815
1040.0,83.99373638450197
1045.0,84.33202342220602
1050.0,84.67031045990984
1055.0,85.00859749761389
1060.0,85.34688453531771
1065.0,85.68517157302176
1070.0,86.02345861072558
1075.0,86.36174564842963
1080.0,86.70003268613368
1085.0,87.0383197238375
1090.0,87.37660676154155
1095.0,87.71489379924537
1100.0,88.05318083694942
1105.0,88.39146787465324
1110.0,88.7297549123573
1115.0,89.06804195006112
1120.0,89.40632898776516
1125.0,89.74461602546899
1130.0,90.46076559278845
1135.0,92.34092564351045
1140.0,94.22108569423267
1145.0,96.1012457449549
1150.0,97.98140579567689
1155.0,99.86156584639912
1160.0,101.34620173644839
1165.0,102.79940096215137
1170.0,104.25260018785411
1175.0,105.70579941355709
1180.0,107.15899863925983
1185.0,108.61219786496281
1190.0,110.05853811311658
1195.0,111.35932290016603
1200.0,112.66010768721571
1205.0,113.96089247426517
1210.0,115.26167726131462
1215.0,116.5624620483643
1220.0,117.86324683541375
1225.0,119.16403162246343
1230.0,120.34161912192894
1235.0,121.29763734261951
1240.0,122.25365556331008
1245.0,123.20967378400064
1250.0,124.16569200469144
1255.0,125.121710225382
1260.0,126.07772844607257
1265.0,127.03374666676314
1270.0,127.98976488745393
1275.0,128.9457831081445
1280.0,129.90180132883506
1285.0,130.62902241051324
1290.0,131.3300519988527
1295.0,132.03108158719192
1300.0,132.73211117553114
1305.0,133.4331407638706
1310.0,134.13417035220982
1315.0,134.83519994054905
1320.0,135.5362295288885
1325.0,136.23725911722772
1330.0,136.93828870556717
1335.0,137.6393182939064
1340.0,138.34034788224562
1345.0,139.04137747058508
1350.0,139.7424070589243
1355.0,140.0
1360.0,140.0
1365.0,140.0
1370.0,140.0
1375.0,140.0
1380.0,140.0
1385.0,140.0
1390.0,140.0
1395.0,140.0
1400.0,140.0
1405.0,140.0
1410.0,140.0
1415.0,140.0
1420.0,140.0
1425.0,140.0
1430.0,140.0
1435.0,140.0
1440.0,140.0
1445.0,140.0
1450.0,140.0
1455.0,140.0
1460.0,140.0
1465.0,140.0
1470.0,140.0
1475.0,139.51792452337008
1480.0,138.9894882952899
1485.0,138.4610520672095
1490.0,137.9326158391293
1495.0,137.4041796110489
1500.0,136.87574338296872
1505.0,136.3473071548883
1510.0,135.8188709268079
1515.0,135.29043469872772
1520.0,134.7619984706473
1525.0,134.23356224256713
1530.0,133.70512601448672
1535.0,133.17668978640654
1540.0,132.64825355832613
1545.0,132.11981733024595
1550.0,131.59138110216554
1555.0,131.06294487408513
1560.0,130.53450864600495
1565.0,130.00607241792454
1570.0,129.21454373058396
1575.0,128.41995662431304
1580.0,127.62536951804213
1585.0,126.83078241177122
1590.0,126.03619530550031
1595.0,125.2416081992294